Municipios,Agropecuaria,Industria,Adm_pub,T_ex_adm_pub ,Total,Impostos,PIB,PIBpc
Adamantina,35510,131611,177739,655890,1000751,83655,1084405,30714
Adolfo,22647,11020,22194,33366,89227,3147,92374,29091
Aguaí,81936,314195,128003,361395,885529,122658,1008187,27366
Águas da Prata,9984,19333,32801,91831,153949,14356,168305,19927
Águas de Lindóia,4870,37780,89096,325597,457343,34179,491522,26193
Águas de Santa Bárbara,50437,9780,34091,64286,158594,8237,166830,25658
Águas de São Pedro,0,10763,21329,96792,128883,7063,135947,43644
Agudos,76596,927746,177012,698060,1879413,323937,2203350,57136
Alambari,30973,7398,25509,31982,95862,4635,100497,18366
Alfredo Marcondes,5031,13695,20358,29083,68166,15206,83373,20612
Altair,49937,5356,21698,26116,103107,3726,106833,53136
Altinópolis,148080,18674,67168,235716,469638,28085,497723,33744
Alto Alegre,32914,10186,22688,35518,101305,6407,107712,27550
Alumínio,901,1019462,88406,442604,1551373,553732,2105105,104775
Álvares Florence,62758,4836,20770,28580,116944,2752,119696,28771
Álvares Machado,16093,100751,98416,256013,471273,59445,530718,22044
Álvaro de Carvalho,6328,2614,20871,18317,48130,1757,49886,10253
Alvinlândia,14523,3757,16447,16305,51032,874,51906,20514
Americana,8833,2835213,985881,5897598,9727525,1604884,11332408,47907
Américo Brasiliense,16766,303903,150140,399646,870455,88981,959435,25082
Américo de Campos,41925,4507,27250,40805,114487,3245,117732,18173
Amparo,76338,1931615,301017,1614061,3923030,723479,4646510,61000
Analândia,32738,59867,31432,54169,178206,5787,183994,33800
Andradina,99993,406638,238115,1029211,1773957,148529,1922486,35326
Angatuba,139757,304750,105384,382204,932094,76318,1008412,41078
Anhembi,73715,25047,32282,41777,172821,7065,179886,24150
Anhumas,25171,5774,20043,21400,72389,2436,74825,21697
Aparecida,1512,43174,146186,839747,1030619,52154,1082773,29454
Aparecida d'Oeste,26077,34433,20610,39826,120945,7624,128569,32051
Apiaí,108332,138625,94383,211151,552491,42197,594687,26390
Araçariguama,1178,901461,116826,1671907,2691373,579486,3270859,140561
Araçatuba,109039,1148211,681473,4784946,6723668,625753,7349421,36890
Araçoiaba da Serra,21195,229311,133253,395295,779055,82926,861982,20888
Aramina,27689,5008,23065,62271,118033,8575,126608,27646
Arandu,39403,6090,29489,38613,113596,3984,117579,20061
Arapeí,1751,1626,14357,11955,29689,1015,30704,12079
Araraquara,92963,1691653,1003151,5591594,8379360,1029754,9409114,41400
Araras,102408,1365753,553300,2912399,4933860,631278,5565138,41826
Arco-Íris,21884,5855,12949,10907,51595,1420,53015,26318
Arealva,68028,14517,34653,99796,216993,13795,230788,26208
Areias,4859,1275,20163,15233,41529,1598,43128,11457
Areiópolis,25747,11397,42396,57954,137494,5508,143002,12682
Ariranha,21245,193090,41534,314515,570385,158198,728583,83965
Artur Nogueira,113925,197633,194738,549745,1056041,128229,1184269,21528
Arujá,24321,943418,366045,3808517,5142301,1013113,6155414,62433
Aspásia,10855,1793,11719,9868,34236,970,35205,18840
Assis,46341,544811,395939,2043500,3030592,332744,3363336,33173
Atibaia,162829,1827296,592132,3409763,5992019,1148385,7140404,47164
Auriflama,23372,38187,61839,164652,288049,16761,304811,20444
Avaí,164244,10068,26843,62381,263536,8372,271908,50939
Avanhandava,34995,101048,52820,106525,295388,24078,319465,31979
Avaré,119567,482741,369711,1533104,2505122,232038,2737161,30455
Bady Bassitt,11719,36176,71524,204454,323874,29547,353421,21213
Balbinos,14707,5326,23367,12349,55749,1814,57563,14992
Bálsamo,26725,25469,36223,98292,186709,16331,203040,25646
Bananal,6752,32807,46592,87511,173662,10892,184554,19119
Barão de Antonina,14068,2500,17663,17543,51774,1501,53276,13120
Barbosa,15706,7220,28666,39502,91094,3817,94911,12437
Bariri,53788,282602,142947,554074,1033411,126788,1160199,33712
Barra Bonita,16371,368604,149026,636457,1170458,112074,1282532,37330
Barra do Chapéu,32535,3397,24158,18623,78713,2504,81216,15043
Barra do Turvo,3327,4871,35624,40065,83887,7133,91020,11257
Barretos,190091,1193448,521552,2548345,4453436,405933,4859369,40011
Barrinha,22469,83370,123152,253678,482668,34988,517656,14821
Barueri,319,4525241,1844660,30068622,36438842,14127802,50566644,183769
Bastos,431963,108312,85205,282323,907803,51722,959525,52537
Batatais,128089,221976,240525,865557,1456146,133922,1590068,25767
Bauru,46896,2641158,1430661,9163827,13282542,1359519,14642061,38476
Bebedouro,94929,450709,334260,2028481,2908379,436173,3344551,43303
Bento de Abreu,34274,61079,18524,40825,154701,12846,167547,64359
Bernardino de Campos,25258,40163,44581,94821,204824,15435,220259,21240
Bertioga,5675,177572,371543,1040199,1594989,95607,1690596,26696
Bilac,56993,8397,32428,86280,184098,8944,193041,23810
Birigui,52355,630094,473614,1864875,3020938,315632,3336570,26788
Biritiba-Mirim,280871,39589,115046,228394,663899,23703,687603,22421
Boa Esperança do Sul,86293,21127,63419,121809,292647,16837,309484,25603
Bocaina,33781,26456,50629,91259,202126,15340,217466,18950
Bofete,33781,27473,47331,68836,177420,9696,187116,15668
Boituva,20386,712120,264472,1023200,2020178,361339,2381517,48160
Bom Jesus dos Perdões,8012,310372,99421,357179,774984,133444,908428,35367
Bom Sucesso de Itararé,5794,14263,18932,21090,60079,2581,62660,14161
Borá,12534,26673,8332,17697,65236,5654,70890,100618
Boracéia,18508,191057,23141,113683,346389,36783,383172,79827
Borborema,81572,26898,66874,171703,347049,25197,372245,26733
Borebi,20366,2799,16908,21143,61215,4063,65278,24654
Botucatu,201068,1090166,471018,2449999,4212251,411158,4623409,30886
Bragança Paulista,45222,1606000,622758,3270518,5544498,761009,6305507,35045
Braúna,22539,8301,25767,37740,94348,3815,98163,17260
Brejo Alegre,9666,21261,19178,27648,77753,5406,83159,62919
Brodowski,42711,158397,104287,299883,605278,63702,668980,27700
Brotas,89950,67275,107399,335358,599982,57872,657854,32780
Buri,124864,42021,83534,142974,393393,20313,413706,18959
Buritama,45383,248558,72769,233663,600373,35290,635662,37925
Buritizal,33030,62238,26475,47219,168962,9004,177965,43691
Cabrália Paulista,17786,14285,21784,24738,78593,3957,82550,19288
Cabreúva,28790,1129792,223327,2258780,3640689,1036453,4677142,93987
Caçapava,16110,1614162,354905,1638579,3623755,694689,4318445,46465
Cachoeira Paulista,12629,62166,128816,373201,576812,31680,608492,18602
Caconde,93930,34290,70846,149513,348579,8763,357342,18302
Cafelândia,91768,96275,76562,198639,463244,41788,505033,27985
Caiabu,14145,3730,19597,19146,56618,1596,58214,14579
